run_at,city,station,market_date,market_type,market_id,event_key,bucket_type,bucket_value,bucket_low,bucket_high,probability_method,model_probability,market_probability,entry_price,entry_source,fee_rate,fee_per_share,gross_edge,net_ev_per_share,forecast_count,forecast_models,forecast_mean_c,calibration_sigma_c,calibration_source,calibration_samples,calibration_bias_c,calibration_flag,calibration_lead_days,family_probability_sum,family_status,execution_quality,signal,reason
2026-09-17T19:17:36.196844+00:00,London,EGLC,2026-09-17,lowest_temperature,4575634,london|2026_09_17|lowest_temperature|c|eglc,exact,13.0,13.0,13.0,empirical_station_model_lead_error_distribution,0.411765,0.035,0.05,ask,0.05,0.002375,0.361765,0.35939,1,ecmwf,13.2,0.7742,station_model_lead_empirical,89,0.2292,OK,1,1.038889,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.197754+00:00,Paris,LFPB,2026-09-17,lowest_temperature,4575646,paris|2026_09_17|lowest_temperature|c|lfpb,exact,12.0,12.0,12.0,empirical_station_model_lead_error_distribution,0.336898,0.0035,0.007,ask,0.05,0.00034755,0.329898,0.329551,1,ecmwf,12.4,1.2379,station_model_lead_empirical,89,-0.2551,OK,1,1.038889,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.249842+00:00,Kuala Lumpur,WMKK,2026-09-18,highest_temperature,4606489,kuala_lumpur|2026_09_18|highest_temperature|c|wmkk,exact,36.0,36.0,36.0,empirical_station_model_lead_error_distribution,0.322404,0.0045,0.008,ask,0.05,0.0003968,0.314404,0.314008,1,ecmwf,33.5,1.0808,station_model_lead_empirical,88,1.7011,OK,1,1.02809,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.262478+00:00,Seoul (Incheon),RKSI,2026-09-19,lowest_temperature,4632027,seoul_incheon|2026_09_19|lowest_temperature|c|rksi,exact,18.0,18.0,18.0,empirical_station_model_lead_error_distribution,0.481081,0.125,0.22,ask,0.05,0.00858,0.261081,0.252501,1,ecmwf,17.9,1.0398,station_model_lead_empirical,88,0.4943,OK,2,1.039326,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.243470+00:00,Singapore,WSSS,2026-09-18,highest_temperature,4606315,singapore|2026_09_18|highest_temperature|c|wsss,exact,34.0,34.0,34.0,empirical_station_model_lead_error_distribution,0.322404,0.065,0.07,ask,0.05,0.003255,0.252404,0.249149,1,ecmwf,32.2,0.9953,station_model_lead_empirical,88,1.5454,OK,1,1.02809,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.249824+00:00,Kuala Lumpur,WMKK,2026-09-18,highest_temperature,4606488,kuala_lumpur|2026_09_18|highest_temperature|c|wmkk,exact,35.0,35.0,35.0,empirical_station_model_lead_error_distribution,0.278689,0.025,0.03,ask,0.05,0.001455,0.248689,0.247234,1,ecmwf,33.5,1.0808,station_model_lead_empirical,88,1.7011,OK,1,1.02809,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.263187+00:00,Ankara,LTAC,2026-09-19,lowest_temperature,4632037,ankara|2026_09_19|lowest_temperature|c|ltac,exact,12.0,12.0,12.0,empirical_station_model_lead_error_distribution,0.355932,0.055,0.11,ask,0.05,0.004895,0.245932,0.241037,1,ecmwf,12.6,1.2151,station_model_lead_empirical,89,-0.9596,OK,2,0.983333,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.283317+00:00,Shanghai,ZSPD,2026-09-19,highest_temperature,4632849,shanghai|2026_09_19|highest_temperature|c|zspd,exact,30.0,30.0,30.0,empirical_station_model_lead_error_distribution,0.308108,0.06,0.08,ask,0.05,0.00368,0.228108,0.224428,1,ecmwf,28.4,1.266,station_model_lead_empirical,88,1.1875,OK,2,1.039326,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.289670+00:00,Helsinki,EFHK,2026-09-19,highest_temperature,4633024,helsinki|2026_09_19|highest_temperature|c|efhk,exact,18.0,18.0,18.0,empirical_station_model_lead_error_distribution,0.326203,0.085,0.1,ask,0.05,0.0045,0.226203,0.221703,1,ecmwf,16.5,1.3783,station_model_lead_empirical,89,0.8045,OK,2,1.038889,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.284765+00:00,Milan,LIMC,2026-09-19,highest_temperature,4632871,milan|2026_09_19|highest_temperature|c|limc,exact,24.0,24.0,24.0,empirical_station_model_lead_error_distribution,0.303867,0.06,0.08,ask,0.05,0.00368,0.223867,0.220187,1,ecmwf,24.2,1.3536,station_model_lead_empirical,88,0.9841,OK,2,1.016854,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.278947+00:00,Seoul (Incheon),RKSI,2026-09-19,highest_temperature,4632763,seoul_incheon|2026_09_19|highest_temperature|c|rksi,exact,30.0,30.0,30.0,empirical_station_model_lead_error_distribution,0.245902,0.02,0.03,ask,0.05,0.001455,0.215902,0.214447,1,ecmwf,28.3,1.4927,station_model_lead_empirical,88,1.1011,OK,2,1.02809,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
2026-09-17T19:17:36.241249+00:00,Munich,EDDM,2026-09-18,highest_temperature,4606259,munich|2026_09_18|highest_temperature|c|eddm,exact,23.0,23.0,23.0,empirical_station_model_lead_error_distribution,0.229947,0.01,0.02,ask,0.05,0.00098,0.209947,0.208967,1,ecmwf,20.2,1.3552,station_model_lead_empirical,89,1.8079,OK,1,1.038889,PASS,EXECUTABLE_ASK,PAPER_BUY,empirical_calibration_thresholds_pass
