run_at,city,station,market_date,market_type,market_id,event_key,bucket_type,bucket_value,bucket_low,bucket_high,model_probability,market_probability,entry_price,entry_source,fee_rate,fee_per_share,gross_edge,net_ev_per_share,forecast_count,forecast_models,forecast_mean_c,forecast_sigma_c,calibration_source,calibration_samples,calibration_bias_c,calibration_sigma_c,calibration_flag,calibration_lead_days,family_probability_sum,family_status,execution_quality,signal,reason
2026-09-11T16:03:48.694333+00:00,Karachi,OPKC,2026-09-13,highest_temperature,4461980,karachi|2026_09_13|highest_temperature|c|opkc,exact,39.0,39.0,39.0,0.342422,0.135,0.14,ask,0.05,0.00602,0.202422,0.196402,1,ecmwf,38.7618,1.1998,station_model_lead_max,89,-0.9382,1.1998,OK,2,0.926302,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.690097+00:00,Wellington,NZWN,2026-09-13,highest_temperature,4461671,wellington|2026_09_13|highest_temperature|c|nzwn,exact,14.0,14.0,14.0,0.357618,0.145,0.16,ask,0.05,0.00672,0.197618,0.190898,1,ecmwf,14.4216,0.9828,station_model_lead_max,88,0.8216,0.9828,OK,2,0.999967,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.694342+00:00,Karachi,OPKC,2026-09-13,highest_temperature,4461981,karachi|2026_09_13|highest_temperature|c|opkc,exact,40.0,40.0,40.0,0.211037,0.01,0.02,ask,0.05,0.00098,0.191037,0.190057,1,ecmwf,38.7618,1.1998,station_model_lead_max,89,-0.9382,1.1998,OK,2,0.926302,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.669179+00:00,London,EGLC,2026-09-12,lowest_temperature,4430344,london|2026_09_12|lowest_temperature|c|eglc,exact,12.0,12.0,12.0,0.25752,0.055,0.08,ask,0.05,0.00368,0.17752,0.17384,1,ecmwf,12.9292,0.7786,station_model_lead_min,89,0.2292,0.7786,OK,1,1.0,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.664856+00:00,Amsterdam,EHAM,2026-09-11,highest_temperature,4400227,amsterdam|2026_09_11|highest_temperature|c|eham,exact,22.0,22.0,22.0,0.176083,0.002,0.004,ask,0.05,0.0001992,0.172083,0.171884,1,ecmwf,20.6393,1.1637,station_model_lead_max,89,0.6393,1.1637,OK,1,0.993019,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.679001+00:00,Amsterdam,EHAM,2026-09-12,highest_temperature,4431459,amsterdam|2026_09_12|highest_temperature|c|eham,exact,20.0,20.0,20.0,0.245091,0.055,0.07,ask,0.05,0.003255,0.175091,0.171836,1,ecmwf,20.9393,1.1637,station_model_lead_max,89,0.6393,1.1637,OK,1,0.998891,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.675460+00:00,Seoul (Incheon),RKSI,2026-09-12,highest_temperature,4431206,seoul_incheon|2026_09_12|highest_temperature|c|rksi,exact,23.0,23.0,23.0,0.241753,0.065,0.07,ask,0.05,0.003255,0.171753,0.168498,1,ecmwf,23.8614,1.3137,station_model_lead_max,88,1.1614,1.3137,OK,1,0.999343,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.677528+00:00,Milan,LIMC,2026-09-12,highest_temperature,4431326,milan|2026_09_12|highest_temperature|c|limc,exact,24.0,24.0,24.0,0.23908,0.05,0.07,ask,0.05,0.003255,0.16908,0.165825,1,ecmwf,24.9795,1.2216,station_model_lead_max,88,1.0796,1.2216,OK,1,0.980458,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.671246+00:00,Shanghai,ZSPD,2026-09-12,lowest_temperature,4430455,shanghai|2026_09_12|lowest_temperature|c|zspd,exact,23.0,23.0,23.0,0.321565,0.095,0.15,ask,0.05,0.006375,0.171565,0.16519,1,ecmwf,23.6795,0.9273,station_model_lead_min,88,-0.1205,0.9273,OK,1,0.999981,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.693353+00:00,Helsinki,EFHK,2026-09-13,highest_temperature,4461914,helsinki|2026_09_13|highest_temperature|c|efhk,exact,19.0,19.0,19.0,0.202537,0.025,0.04,ask,0.05,0.00192,0.162537,0.160617,1,ecmwf,17.8045,1.3861,station_model_lead_max,89,0.8045,1.3861,OK,2,0.974088,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.670177+00:00,Wellington,NZWN,2026-09-12,lowest_temperature,4430390,wellington|2026_09_12|lowest_temperature|c|nzwn,exact,10.0,10.0,10.0,0.284441,0.075,0.12,ask,0.05,0.00528,0.164441,0.159161,1,ecmwf,9.3602,1.1888,station_model_lead_min,88,-0.2398,1.1888,OK,1,0.99973,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.692134+00:00,Warsaw,EPWA,2026-09-13,highest_temperature,4461782,warsaw|2026_09_13|highest_temperature|c|epwa,exact,19.0,19.0,19.0,0.342243,0.175,0.18,ask,0.05,0.00738,0.162243,0.154863,1,ecmwf,19.1281,1.1214,station_model_lead_max,89,0.2281,1.1214,OK,2,0.999933,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.676236+00:00,Lucknow,VILK,2026-09-12,highest_temperature,4431240,lucknow|2026_09_12|highest_temperature|c|vilk,exact,31.0,31.0,31.0,0.185259,0.02,0.03,ask,0.05,0.001455,0.155259,0.153804,1,ecmwf,32.3157,1.3037,station_model_lead_max,89,0.7157,1.3037,OK,1,0.992701,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.679286+00:00,Helsinki,EFHK,2026-09-12,highest_temperature,4431473,helsinki|2026_09_12|highest_temperature|c|efhk,exact,18.0,18.0,18.0,0.193613,0.035,0.04,ask,0.05,0.00192,0.153613,0.151693,1,ecmwf,16.7416,1.1634,station_model_lead_max,89,0.9416,1.1634,OK,1,0.991128,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.676485+00:00,Munich,EDDM,2026-09-12,highest_temperature,4431251,munich|2026_09_12|highest_temperature|c|eddm,exact,24.0,24.0,24.0,0.223352,0.06,0.07,ask,0.05,0.003255,0.153352,0.150097,1,ecmwf,23.0079,1.3628,station_model_lead_max,89,1.8079,1.3628,OK,1,0.994945,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.690620+00:00,Munich,EDDM,2026-09-13,highest_temperature,4461694,munich|2026_09_13|highest_temperature|c|eddm,exact,26.0,26.0,26.0,0.181486,0.025,0.03,ask,0.05,0.001455,0.151486,0.150031,1,ecmwf,24.6719,1.5345,station_model_lead_max,89,1.8719,1.5345,OK,2,0.980566,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.689870+00:00,Ankara,LTAC,2026-09-13,highest_temperature,4461663,ankara|2026_09_13|highest_temperature|c|ltac,exact,34.0,34.0,34.0,0.188271,0.03,0.04,ask,0.05,0.00192,0.148271,0.146351,1,ecmwf,32.7191,1.3592,station_model_lead_max,89,0.4191,1.3592,OK,2,0.997234,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.676008+00:00,Wellington,NZWN,2026-09-12,highest_temperature,4431231,wellington|2026_09_12|highest_temperature|c|nzwn,exact,15.0,15.0,15.0,0.212738,0.06,0.07,ask,0.05,0.003255,0.142738,0.139483,1,ecmwf,13.925,0.8082,station_model_lead_max,88,0.825,0.8082,OK,1,0.999995,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.663486+00:00,Milan,LIMC,2026-09-11,highest_temperature,4400096,milan|2026_09_11|highest_temperature|c|limc,exact,27.0,27.0,27.0,0.14417,0.0025,0.005,ask,0.05,0.00024875,0.13917,0.138921,1,ecmwf,25.3796,1.2216,station_model_lead_max,88,1.0796,1.2216,OK,1,0.958705,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.677008+00:00,Shanghai,ZSPD,2026-09-12,highest_temperature,4431295,shanghai|2026_09_12|highest_temperature|c|zspd,exact,30.0,30.0,30.0,0.293909,0.14,0.15,ask,0.05,0.006375,0.143909,0.137534,1,ecmwf,29.5545,1.2447,station_model_lead_max,88,1.0546,1.2447,OK,1,0.999403,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.677018+00:00,Shanghai,ZSPD,2026-09-12,highest_temperature,4431296,shanghai|2026_09_12|highest_temperature|c|zspd,exact,31.0,31.0,31.0,0.164822,0.025,0.03,ask,0.05,0.001455,0.134822,0.133367,1,ecmwf,29.5545,1.2447,station_model_lead_max,88,1.0546,1.2447,OK,1,0.999403,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.691625+00:00,Milan,LIMC,2026-09-13,highest_temperature,4461760,milan|2026_09_13|highest_temperature|c|limc,exact,24.0,24.0,24.0,0.164581,0.025,0.03,ask,0.05,0.001455,0.134581,0.133126,1,ecmwf,25.4841,1.3614,station_model_lead_max,88,0.9841,1.3614,OK,2,0.986627,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.692124+00:00,Warsaw,EPWA,2026-09-13,highest_temperature,4461781,warsaw|2026_09_13|highest_temperature|c|epwa,exact,18.0,18.0,18.0,0.214449,0.06,0.08,ask,0.05,0.00368,0.134449,0.130769,1,ecmwf,19.1281,1.1214,station_model_lead_max,89,0.2281,1.1214,OK,2,0.999933,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.663987+00:00,Warsaw,EPWA,2026-09-11,highest_temperature,4400113,warsaw|2026_09_11|highest_temperature|c|epwa,exact,18.0,18.0,18.0,0.13438,0.003,0.005,ask,0.05,0.00024875,0.12938,0.129132,1,ecmwf,16.2921,1.2101,station_model_lead_max,89,0.2921,1.2101,OK,1,0.930692,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.691120+00:00,Shanghai,ZSPD,2026-09-13,highest_temperature,4461738,shanghai|2026_09_13|highest_temperature|c|zspd,exact,31.0,31.0,31.0,0.27399,0.12,0.14,ask,0.05,0.00602,0.13399,0.12797,1,ecmwf,30.3875,1.2732,station_model_lead_max,88,1.1875,1.2732,OK,2,0.998838,PASS,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
2026-09-11T16:03:48.660018+00:00,Helsinki,EFHK,2026-09-11,lowest_temperature,4399393,helsinki|2026_09_11|lowest_temperature|c|efhk,or_lower,6.0,,6.0,0.143435,0.011,0.02,ask,0.05,0.00098,0.123435,0.122455,1,ecmwf,8.0034,1.4116,station_model_lead_min,89,-1.0966,1.4116,OK,1,0.856565,INCOMPLETE,EXECUTABLE_ASK,PAPER_BUY,calibrated_thresholds_pass
