collected_at,station,market_date,model,timezone,forecast_target,temperature_max_c,temperature_min_c,forecast_url
2026-09-10T20:12:15.684836+00:00,EFHK,2026-09-10,open_meteo_best_match,Europe/Helsinki,2026-09-10,18.0,13.7,https://api.open-meteo.com/v1/forecast?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:15.684854+00:00,EFHK,2026-09-11,open_meteo_best_match,Europe/Helsinki,2026-09-11,16.8,9.7,https://api.open-meteo.com/v1/forecast?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:15.684858+00:00,EFHK,2026-09-12,open_meteo_best_match,Europe/Helsinki,2026-09-12,17.8,8.8,https://api.open-meteo.com/v1/forecast?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:16.472878+00:00,EFHK,2026-09-10,ecmwf,Europe/Helsinki,2026-09-10,16.9,11.3,https://api.open-meteo.com/v1/ecmwf?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:16.472900+00:00,EFHK,2026-09-11,ecmwf,Europe/Helsinki,2026-09-11,17.0,9.3,https://api.open-meteo.com/v1/ecmwf?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:16.472906+00:00,EFHK,2026-09-12,ecmwf,Europe/Helsinki,2026-09-12,15.7,7.6,https://api.open-meteo.com/v1/ecmwf?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:17.268632+00:00,EFHK,2026-09-10,gfs,Europe/Helsinki,2026-09-10,17.1,11.2,https://api.open-meteo.com/v1/gfs?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:17.268653+00:00,EFHK,2026-09-11,gfs,Europe/Helsinki,2026-09-11,16.8,8.4,https://api.open-meteo.com/v1/gfs?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:17.268658+00:00,EFHK,2026-09-12,gfs,Europe/Helsinki,2026-09-12,16.8,6.6,https://api.open-meteo.com/v1/gfs?latitude=60.327&longitude=24.957&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:19.592972+00:00,EHAM,2026-09-10,ecmwf,Europe/Amsterdam,2026-09-10,18.7,10.7,https://api.open-meteo.com/v1/ecmwf?latitude=52.315&longitude=4.79&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:19.592990+00:00,EHAM,2026-09-11,ecmwf,Europe/Amsterdam,2026-09-11,19.2,13.4,https://api.open-meteo.com/v1/ecmwf?latitude=52.315&longitude=4.79&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:19.592994+00:00,EHAM,2026-09-12,ecmwf,Europe/Amsterdam,2026-09-12,20.3,11.8,https://api.open-meteo.com/v1/ecmwf?latitude=52.315&longitude=4.79&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:14:20.424315+00:00,EHAM,2026-09-10,gfs,Europe/Amsterdam,2026-09-10,19.1,12.3,https://api.open-meteo.com/v1/gfs?latitude=52.315&longitude=4.79&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
