collected_at,station,observation_time,temperature_c,dewpoint_c,wind_speed_kt,raw_text,source
2026-09-10T21:44:26.354035+00:00,EGLC,2026-09-10T21:20:00.000Z,18.0,12.0,10.0,METAR EGLC 102120Z AUTO 22010KT 9999 BKN028 18/12 Q1016,AviationWeather.gov METAR
2026-09-10T21:44:26.354039+00:00,EHAM,2026-09-10T21:25:00.000Z,16.0,11.0,6.0,METAR EHAM 102125Z 17006KT CAVOK 16/11 Q1017 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354043+00:00,EPWA,2026-09-10T21:30:00.000Z,11.0,7.0,6.0,METAR EPWA 102130Z 26006KT CAVOK 11/07 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354048+00:00,FACT,2026-09-10T21:00:00.000Z,16.0,13.0,16.0,METAR FACT 102100Z 19016KT 9999 FEW005 16/13 Q1022 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354055+00:00,KATL,2026-09-10T21:00:00.000Z,32.2,19.4,7.0,METAR KATL 102052Z 26007KT 10SM FEW050TCU SCT100 SCT250 32/19 A3001 RMK AO2 SLP152 TCU N NE SE W DSNT ALQDS T03220194 56025 $,AviationWeather.gov METAR
2026-09-10T21:44:26.354061+00:00,KAUS,2026-09-10T21:00:00.000Z,37.2,18.9,7.0,METAR KAUS 102053Z 21007KT 10SM FEW065 SCT080 SCT200 37/19 A2988 RMK AO2 SLP103 T03720189 58039,AviationWeather.gov METAR
2026-09-10T21:44:26.354065+00:00,KBKF,2026-09-10T21:00:00.000Z,30.4,-9.3,6.0,METAR KBKF 102058Z VRB06KT 10SM FEW080 FEW140 30/M09 A3010 RMK AO2A SLP116 T03041093 57028,AviationWeather.gov METAR
2026-09-10T21:44:26.354069+00:00,KDAL,2026-09-10T21:00:00.000Z,36.7,17.8,3.0,METAR KDAL 102053Z VRB03KT 10SM SCT075TCU SCT110 BKN250 37/18 A2988 RMK AO2 SLP110 CB DSNT W-N MOV SE TCU SW-NW-NE AND DSNT ALQDS T03670178 56029,AviationWeather.gov METAR
2026-09-10T21:44:26.354073+00:00,KHOU,2026-09-10T21:00:00.000Z,30.6,22.2,0.0,METAR KHOU 102053Z 00000KT 10SM SCT040 SCT100 SCT200 BKN250 31/22 A2993 RMK AO2 SLP137 CB DSNT SW MOV LTL T03060222 56025,AviationWeather.gov METAR
2026-09-10T21:44:26.354077+00:00,KLAX,2026-09-10T21:00:00.000Z,31.1,19.4,10.0,METAR KLAX 102053Z 28010KT 10SM FEW120 FEW180 SCT230 SCT280 31/19 A2987 RMK AO2 SLP111 TCU DSNT NE CB DSNT E T03110194 58019 $,AviationWeather.gov METAR
2026-09-10T21:44:26.354081+00:00,KLGA,2026-09-10T21:00:00.000Z,30.0,16.7,10.0,METAR KLGA 102051Z 30010G20KT 10SM FEW060 FEW150 SCT180 BKN250 30/17 A2982 RMK AO2 SLP097 T03000167 55006,AviationWeather.gov METAR
2026-09-10T21:44:26.354085+00:00,KMIA,2026-09-10T21:00:00.000Z,29.4,23.9,3.0,METAR KMIA 102053Z 18003KT 10SM FEW025 SCT180 OVC250 29/24 A3000 RMK AO2 SLP157 60001 T02940239 56029,AviationWeather.gov METAR
2026-09-10T21:44:26.354088+00:00,KORD,2026-09-10T21:00:00.000Z,25.0,10.6,4.0,METAR KORD 102051Z 07004KT 10SM FEW050 BKN250 25/11 A3001 RMK AO2 SLP156 T02500106 56014,AviationWeather.gov METAR
2026-09-10T21:44:26.354092+00:00,KSEA,2026-09-10T21:00:00.000Z,20.0,12.2,6.0,METAR KSEA 102053Z 31006KT 10SM FEW025 SCT042 BKN050 BKN240 20/12 A3003 RMK AO2 SLP173 T02000122 56008 $,AviationWeather.gov METAR
2026-09-10T21:44:26.354096+00:00,KSFO,2026-09-10T21:00:00.000Z,28.9,12.2,12.0,METAR KSFO 102056Z 31012KT 10SM FEW200 29/12 A2995 RMK AO2 SLP141 T02890122 58012 $,AviationWeather.gov METAR
2026-09-10T21:44:26.354100+00:00,LEMD,2026-09-10T21:30:00.000Z,20.0,-1.0,3.0,METAR LEMD 102130Z 36003KT CAVOK 20/M01 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354104+00:00,LFPB,2026-09-10T21:30:00.000Z,14.0,8.0,1.0,METAR LFPB 102130Z AUTO 35001KT CAVOK 14/08 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354108+00:00,LIMC,2026-09-10T21:20:00.000Z,19.0,17.0,4.0,METAR LIMC 102120Z 07004KT 9999 -RA BKN050 19/17 Q1015 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354112+00:00,LTAC,2026-09-10T21:20:00.000Z,17.0,4.0,3.0,METAR LTAC 102120Z 03003KT CAVOK 17/04 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354116+00:00,MMMX,2026-09-10T21:38:00.000Z,25.0,10.0,12.0,SPECI MMMX 102138Z 05012KT 6SM VCRA BKN020CB BKN080 OVC220 25/10 A3027 TEMPO 5SM TSRA RMK 8/963 HZY BINOVC VSBY LWR PCPN N NW,AviationWeather.gov METAR
2026-09-10T21:44:26.354120+00:00,MPMG,2026-09-10T21:00:00.000Z,29.0,26.0,5.0,METAR MPMG 102100Z 31005KT 280V340 9000 VCSH SCT016CB SCT080 29/26 Q1007 RETSRA TEMPO TS,AviationWeather.gov METAR
2026-09-10T21:44:26.354124+00:00,NZWN,2026-09-10T21:30:00.000Z,11.0,5.0,16.0,METAR NZWN 102130Z AUTO 35016KT 320V020 9999 SCT031/// 11/05 Q1006,AviationWeather.gov METAR
2026-09-10T21:44:26.354127+00:00,OEJN,2026-09-10T21:00:00.000Z,32.0,27.0,6.0,METAR OEJN 102100Z 31006KT 9999 SCT040 32/27 Q1006 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354131+00:00,OPKC,2026-09-10T21:30:00.000Z,27.0,23.0,3.0,METAR OPKC 102130Z 26003KT 4000 HZ SCT020 27/23 Q1008 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354135+00:00,RJTT,2026-09-10T21:30:00.000Z,19.0,18.0,10.0,METAR RJTT 102130Z 36010KT 4500 RA BR FEW004 BKN015 19/18 Q1019 TEMPO 3000 SHRA BR FEW003 BKN005,AviationWeather.gov METAR
2026-09-10T21:44:26.354139+00:00,RKPK,2026-09-10T21:00:00.000Z,19.0,15.0,3.0,METAR RKPK 102100Z 31003KT CAVOK 19/15 Q1019,AviationWeather.gov METAR
2026-09-10T21:44:26.354143+00:00,RKSI,2026-09-10T21:30:00.000Z,16.0,15.0,6.0,METAR RKSI 102130Z 05006KT CAVOK 16/15 Q1021 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354146+00:00,RPLL,2026-09-10T21:00:00.000Z,25.0,25.0,2.0,METAR RPLL 102100Z VRB02KT 9999 FEW025 BKN130 25/25 Q1011 NOSIG RMK A2985,AviationWeather.gov METAR
2026-09-10T21:44:26.354150+00:00,SAEZ,2026-09-10T21:00:00.000Z,19.0,6.0,10.0,METAR SAEZ 102100Z 06010KT CAVOK 19/06 Q1012 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354154+00:00,SBGR,2026-09-10T21:00:00.000Z,17.0,16.0,4.0,METAR SBGR 102100Z 04004KT 5000 -RA BR NSC 17/16 Q1018,AviationWeather.gov METAR
2026-09-10T21:44:26.354157+00:00,VILK,2026-09-10T21:30:00.000Z,27.0,27.0,0.0,METAR VILK 102130Z 00000KT 4000 BR SCT020 BKN100 27/27 Q1006 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354164+00:00,WMKK,2026-09-10T21:30:00.000Z,25.0,25.0,2.0,METAR WMKK 102130Z VRB02KT 5000 TSRA FEW006 FEW017CB SCT030 25/25 Q1009 TEMPO 3000 TSRA,AviationWeather.gov METAR
2026-09-10T21:44:26.354168+00:00,WSSS,2026-09-10T21:30:00.000Z,28.0,25.0,6.0,METAR WSSS 102130Z 10006KT 8000 SCT016 BKN300 28/25 Q1009 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354171+00:00,ZBAA,2026-09-10T21:30:00.000Z,13.0,11.0,6.0,METAR ZBAA 102130Z 35003MPS CAVOK 13/11 Q1021 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354175+00:00,ZGGG,2026-09-10T21:30:00.000Z,25.0,18.0,14.0,METAR ZGGG 102130Z 01007MPS CAVOK 25/18 Q1016 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354179+00:00,ZGSZ,2026-09-10T21:00:00.000Z,26.0,20.0,10.0,METAR ZGSZ 102100Z 03005MPS CAVOK 26/20 Q1014 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354183+00:00,ZHCC,2026-09-10T21:00:00.000Z,18.0,16.0,2.0,METAR ZHCC 102100Z 28001MPS CAVOK 18/16 Q1024 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354187+00:00,ZHHH,2026-09-10T21:00:00.000Z,18.0,11.0,2.0,METAR ZHHH 102100Z VRB01MPS CAVOK 18/11 Q1021 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354191+00:00,ZSPD,2026-09-10T21:30:00.000Z,24.0,23.0,14.0,METAR ZSPD 102130Z 05007MPS 010V070 9999 -SHRA BKN008 24/23 Q1019 BECMG TL2230 BKN011,AviationWeather.gov METAR
2026-09-10T21:44:26.354194+00:00,ZSQD,2026-09-10T21:00:00.000Z,14.0,11.0,4.0,METAR ZSQD 102100Z 33002MPS CAVOK 14/11 Q1023 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354198+00:00,ZUCK,2026-09-10T21:00:00.000Z,20.0,20.0,2.0,METAR ZUCK 102100Z VRB01MPS 5000 -SHRA BR FEW004 SCT014 OVC030 20/20 Q1022 NOSIG,AviationWeather.gov METAR
2026-09-10T21:44:26.354202+00:00,ZUUU,2026-09-10T21:00:00.000Z,19.0,15.0,10.0,METAR ZUUU 102100Z 02005MPS 9999 FEW026 19/15 Q1023 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351102+00:00,CYYZ,2026-09-10T21:00:00.000Z,23.0,11.0,21.0,METAR CYYZ 102100Z 31021G27KT 15SM BKN060 BKN260 23/11 A2991 RMK SC5CI2 SLP130 DENSITY ALT 1700FT,AviationWeather.gov METAR
2026-09-10T21:49:05.351141+00:00,EDDM,2026-09-10T21:20:00.000Z,12.0,11.0,1.0,METAR EDDM 102120Z AUTO VRB01KT CAVOK 12/11 Q1020 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351147+00:00,EFHK,2026-09-10T21:20:00.000Z,12.0,12.0,6.0,METAR EFHK 102120Z 33006KT 9999 -SHRA FEW008 FEW035CB SCT040 12/12 Q1004 BECMG FEW040,AviationWeather.gov METAR
2026-09-10T21:49:05.351151+00:00,EGLC,2026-09-10T21:20:00.000Z,18.0,12.0,10.0,METAR EGLC 102120Z AUTO 22010KT 9999 BKN028 18/12 Q1016,AviationWeather.gov METAR
2026-09-10T21:49:05.351155+00:00,EHAM,2026-09-10T21:25:00.000Z,16.0,11.0,6.0,METAR EHAM 102125Z 17006KT CAVOK 16/11 Q1017 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351159+00:00,EPWA,2026-09-10T21:30:00.000Z,11.0,7.0,6.0,METAR EPWA 102130Z 26006KT CAVOK 11/07 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351163+00:00,FACT,2026-09-10T21:00:00.000Z,16.0,13.0,16.0,METAR FACT 102100Z 19016KT 9999 FEW005 16/13 Q1022 NOSIG,AviationWeather.gov METAR
2026-09-10T21:49:05.351169+00:00,KATL,2026-09-10T21:00:00.000Z,32.2,19.4,7.0,METAR KATL 102052Z 26007KT 10SM FEW050TCU SCT100 SCT250 32/19 A3001 RMK AO2 SLP152 TCU N NE SE W DSNT ALQDS T03220194 56025 $,AviationWeather.gov METAR
2026-09-10T21:49:05.351175+00:00,KAUS,2026-09-10T21:00:00.000Z,37.2,18.9,7.0,METAR KAUS 102053Z 21007KT 10SM FEW065 SCT080 SCT200 37/19 A2988 RMK AO2 SLP103 T03720189 58039,AviationWeather.gov METAR
2026-09-10T21:49:05.351179+00:00,KBKF,2026-09-10T21:00:00.000Z,30.4,-9.3,6.0,METAR KBKF 102058Z VRB06KT 10SM FEW080 FEW140 30/M09 A3010 RMK AO2A SLP116 T03041093 57028,AviationWeather.gov METAR
2026-09-10T21:49:05.351183+00:00,KDAL,2026-09-10T21:00:00.000Z,36.7,17.8,3.0,METAR KDAL 102053Z VRB03KT 10SM SCT075TCU SCT110 BKN250 37/18 A2988 RMK AO2 SLP110 CB DSNT W-N MOV SE TCU SW-NW-NE AND DSNT ALQDS T03670178 56029,AviationWeather.gov METAR
2026-09-10T21:49:05.351186+00:00,KHOU,2026-09-10T21:00:00.000Z,30.6,22.2,0.0,METAR KHOU 102053Z 00000KT 10SM SCT040 SCT100 SCT200 BKN250 31/22 A2993 RMK AO2 SLP137 CB DSNT SW MOV LTL T03060222 56025,AviationWeather.gov METAR
2026-09-10T21:49:05.351190+00:00,KLAX,2026-09-10T21:00:00.000Z,31.1,19.4,10.0,METAR KLAX 102053Z 28010KT 10SM FEW120 FEW180 SCT230 SCT280 31/19 A2987 RMK AO2 SLP111 TCU DSNT NE CB DSNT E T03110194 58019 $,AviationWeather.gov METAR
2026-09-10T21:49:05.351193+00:00,KLGA,2026-09-10T21:00:00.000Z,30.0,16.7,10.0,METAR KLGA 102051Z 30010G20KT 10SM FEW060 FEW150 SCT180 BKN250 30/17 A2982 RMK AO2 SLP097 T03000167 55006,AviationWeather.gov METAR
