station,model,lead_days,samples,usable,first_date,last_date,min_bias_c,min_mae_c,min_rmse_c,min_sigma_c,max_bias_c,max_mae_c,max_rmse_c,max_sigma_c
ZBAA,ecmwf_ifs025,1,89,YES,2026-06-13,2026-09-09,-0.34831,1.10787,1.37653,1.33928,0.4236,1.33371,1.71369,1.66992
ZBAA,ecmwf_ifs025,2,89,YES,2026-06-13,2026-09-09,-0.32697,1.11573,1.41441,1.3839,0.29438,1.56854,1.91047,1.89835
ZBAA,ecmwf_ifs025,3,89,YES,2026-06-13,2026-09-09,-0.39438,1.17416,1.46391,1.41777,0.24607,1.67528,2.2288,2.22772
ZBAA,ecmwf_ifs025,4,89,YES,2026-06-13,2026-09-09,-0.29213,1.36854,1.67982,1.6636,0.29775,2.04607,2.71403,2.71293
ZBAA,ecmwf_ifs025,5,89,YES,2026-06-13,2026-09-09,-0.48315,1.40225,1.80604,1.75008,0.59101,2.04045,2.48845,2.43094
ZBAA,ecmwf_ifs025,6,89,YES,2026-06-13,2026-09-09,-0.9618,1.5573,2.01595,1.78176,0.61685,2.35618,2.93837,2.88917
ZBAA,ecmwf_ifs025,7,89,YES,2026-06-13,2026-09-09,-0.97865,1.68202,2.15221,1.9277,0.38764,2.76292,3.47817,3.47608
ZGGG,ecmwf_ifs025,1,89,YES,2026-06-13,2026-09-09,1.26067,1.3191,1.53813,0.88621,1.35281,1.64944,2.02945,1.52137
ZGGG,ecmwf_ifs025,2,89,YES,2026-06-13,2026-09-09,1.24719,1.30112,1.56011,0.94257,1.46629,1.92697,2.24332,1.7074
ZGGG,ecmwf_ifs025,3,89,YES,2026-06-13,2026-09-09,1.2236,1.33146,1.59765,1.03309,1.38427,2.00449,2.38794,1.9568
ZGGG,ecmwf_ifs025,4,89,YES,2026-06-13,2026-09-09,1.09438,1.24944,1.50527,1.03938,1.08427,2.14494,2.61665,2.39492
ZGGG,ecmwf_ifs025,5,89,YES,2026-06-13,2026-09-09,1.13933,1.28315,1.5393,1.04094,1.26404,2.21685,2.68079,2.37746
ZGGG,ecmwf_ifs025,6,89,YES,2026-06-13,2026-09-09,1.01798,1.27416,1.5087,1.11982,1.98989,2.76292,3.33839,2.69571
ZGGG,ecmwf_ifs025,7,89,YES,2026-06-13,2026-09-09,1.0,1.33258,1.58929,1.24225,1.86966,2.75955,3.38656,2.83967
ZSPD,ecmwf_ifs025,1,88,YES,2026-06-14,2026-09-09,-0.12045,0.63409,0.92981,0.92726,1.05455,1.31364,1.62593,1.24466
ZSPD,ecmwf_ifs025,2,88,YES,2026-06-14,2026-09-09,-0.07159,0.73977,1.00663,1.00983,1.1875,1.39886,1.73575,1.27323
ZSPD,ecmwf_ifs025,3,88,YES,2026-06-14,2026-09-09,-0.01364,0.72955,0.97386,0.97935,1.20568,1.46477,1.82212,1.37401
ZSPD,ecmwf_ifs025,4,88,YES,2026-06-14,2026-09-09,0.04659,0.83523,1.11105,1.11643,1.11023,1.6125,1.95747,1.62141
ZSPD,ecmwf_ifs025,5,88,YES,2026-06-14,2026-09-09,0.02614,0.82614,1.08738,1.09329,1.09318,1.69545,2.13659,1.84626
ZSPD,ecmwf_ifs025,6,88,YES,2026-06-14,2026-09-09,-0.06591,0.82273,1.05626,1.06024,1.32955,1.99773,2.52519,2.15914
ZSPD,ecmwf_ifs025,7,88,YES,2026-06-14,2026-09-09,-0.21932,0.88068,1.18182,1.16795,1.38295,2.09205,2.68415,2.31364
