POLYMARKET WEATHER CALIBRATION BOOTSTRAP V1.1
NO TRADING

UTC: 2026-09-11T14:26:41.952535+00:00

Stations: 45
Models: 1
History days: 90
Forecast rows: 28350
Ground truth rows: 4050
Matched rows: 28350
Calibration groups: 315

Ground truth source: Open-Meteo ERA5 reanalysis.
This is historical verification data, not literal METAR observations.

CALIBRATION GROUPS

FACT | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-1.428C | min_rmse=1.862C | max_bias=0.711C | max_rmse=1.179C
FACT | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-1.529C | min_rmse=1.977C | max_bias=0.862C | max_rmse=1.286C
FACT | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-1.447C | min_rmse=1.978C | max_bias=0.908C | max_rmse=1.555C
FACT | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-1.482C | min_rmse=2.147C | max_bias=0.869C | max_rmse=1.842C
FACT | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-1.579C | min_rmse=2.286C | max_bias=0.711C | max_rmse=2.243C
FACT | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-1.513C | min_rmse=2.585C | max_bias=1.184C | max_rmse=2.711C
FACT | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-1.519C | min_rmse=2.609C | max_bias=1.116C | max_rmse=3.195C
KATL | ecmwf_ifs025 | lead=1 | n=90 | min_bias=0.044C | min_rmse=0.690C | max_bias=-0.026C | max_rmse=1.256C
KATL | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.063C | min_rmse=0.856C | max_bias=-0.131C | max_rmse=1.422C
KATL | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.154C | min_rmse=0.946C | max_bias=-0.142C | max_rmse=1.818C
KATL | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.192C | min_rmse=1.027C | max_bias=-0.123C | max_rmse=1.863C
KATL | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.088C | min_rmse=1.197C | max_bias=-0.307C | max_rmse=1.950C
KATL | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.136C | min_rmse=1.281C | max_bias=-0.119C | max_rmse=1.809C
KATL | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.058C | min_rmse=1.326C | max_bias=0.100C | max_rmse=2.426C
KAUS | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.186C | min_rmse=0.818C | max_bias=-0.488C | max_rmse=1.064C
KAUS | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.248C | min_rmse=0.911C | max_bias=-0.676C | max_rmse=1.477C
KAUS | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.358C | min_rmse=1.098C | max_bias=-0.888C | max_rmse=1.777C
KAUS | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.507C | min_rmse=1.162C | max_bias=-1.034C | max_rmse=1.809C
KAUS | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.570C | min_rmse=1.245C | max_bias=-1.178C | max_rmse=1.972C
