run_at,city,station,market_date,market_type,unit,market_id,event_key,bucket_type,bucket_value,bucket_low,bucket_high,group_title,model_probability,market_probability,entry_price,fee_rate,fee_per_share,gross_edge,net_ev_per_share,net_return_if_win,forecast_count,forecast_mean_c,forecast_min_c,forecast_max_c,forecast_std_c,observation_temperature_c,observation_time,signal,reason
2026-09-10T21:49:08.083487+00:00,Atlanta,KATL,2026-09-12,highest_temperature,F,4434112,atlanta|2026_09_12|highest_temperature|f|katl,or_lower,77.0,,77.0,77°F or below,0.11995,0.026,0.05,0.05,0.002375,0.06995,0.067575,18.9525,3,28.9333,26.0,30.4,2.5403,32.2,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.1199; entry=0.0500; gross_edge=0.0699; fee=0.00238; net_ev=0.0676; entry_source=ask; fee_source=market
2026-09-10T21:49:08.067266+00:00,Amsterdam,EHAM,2026-09-11,highest_temperature,C,4400223,amsterdam|2026_09_11|highest_temperature|c|eham,exact,18.0,18.0,18.0,18°C,0.098922,0.02,0.03,0.05,0.001455,0.068922,0.067467,32.284833,3,19.9,19.2,20.8,0.8185,16.0,2026-09-10T21:25:00.000Z,PAPER_BUY,model_probability=0.0989; entry=0.0300; gross_edge=0.0689; fee=0.00145; net_ev=0.0675; entry_source=ask; fee_source=market
2026-09-10T21:49:08.069372+00:00,Dallas,KDAL,2026-09-11,lowest_temperature,F,4401752,dallas|2026_09_11|lowest_temperature|f|kdal,range,,78.0,79.0,78-79°F,0.479085,0.275,0.4,0.05,0.012,0.079085,0.067085,1.47,3,25.6667,25.3,26.4,0.6351,36.7,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4791; entry=0.4000; gross_edge=0.0791; fee=0.01200; net_ev=0.0671; entry_source=ask; fee_source=market
2026-09-10T21:49:08.057640+00:00,Chicago,KORD,2026-09-10,lowest_temperature,F,4358902,chicago|2026_09_10|lowest_temperature|f|kord,range,,68.0,69.0,68-69°F,0.067665,0.0005,0.001,0.05,4.995e-05,0.066665,0.066615,998.95005,3,17.7333,17.7,17.8,0.0577,25.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0677; entry=0.0010; gross_edge=0.0667; fee=0.00005; net_ev=0.0666; entry_source=ask; fee_source=market
2026-09-10T21:49:08.080772+00:00,Amsterdam,EHAM,2026-09-12,highest_temperature,C,4431462,amsterdam|2026_09_12|highest_temperature|c|eham,exact,23.0,23.0,23.0,23°C,0.160707,0.07,0.09,0.05,0.004095,0.070707,0.066612,10.065611,3,21.5,20.3,22.7,1.2,16.0,2026-09-10T21:25:00.000Z,PAPER_BUY,model_probability=0.1607; entry=0.0900; gross_edge=0.0707; fee=0.00409; net_ev=0.0666; entry_source=ask; fee_source=market
2026-09-10T21:49:08.080032+00:00,Beijing,ZBAA,2026-09-12,highest_temperature,C,4431378,beijing|2026_09_12|highest_temperature|c|zbaa,exact,27.0,27.0,27.0,27°C,0.149498,0.065,0.08,0.05,0.00368,0.069498,0.065818,11.454,3,28.5333,28.4,28.8,0.2309,13.0,2026-09-10T21:30:00.000Z,PAPER_BUY,model_probability=0.1495; entry=0.0800; gross_edge=0.0695; fee=0.00368; net_ev=0.0658; entry_source=ask; fee_source=market
2026-09-10T21:49:08.060080+00:00,Mexico City,MMMX,2026-09-10,lowest_temperature,C,4363405,mexico_city|2026_09_10|lowest_temperature|c|mmmx,or_higher,16.0,16.0,,16°C or higher,0.066807,0.0005,0.001,0.05,4.995e-05,0.065807,0.065757,998.95005,3,13.7,13.1,14.2,0.5568,23.0,2026-09-10T21:45:00.000Z,PAPER_BUY,model_probability=0.0668; entry=0.0010; gross_edge=0.0658; fee=0.00005; net_ev=0.0658; entry_source=ask; fee_source=market
2026-09-10T21:49:08.083521+00:00,Atlanta,KATL,2026-09-12,highest_temperature,F,4434115,atlanta|2026_09_12|highest_temperature|f|katl,range,,82.0,83.0,82-83°F,0.200888,0.125,0.13,0.05,0.005655,0.070888,0.065233,6.648808,3,28.9333,26.0,30.4,2.5403,32.2,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.2009; entry=0.1300; gross_edge=0.0709; fee=0.00566; net_ev=0.0652; entry_source=ask; fee_source=market
2026-09-10T21:49:08.062977+00:00,Wuhan,ZHHH,2026-09-11,lowest_temperature,C,4399321,wuhan|2026_09_11|lowest_temperature|c|zhhh,exact,19.0,19.0,19.0,19°C,0.066066,0.0005,0.001,0.05,4.995e-05,0.065066,0.065016,998.95005,3,16.8,16.0,17.4,0.7211,18.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0661; entry=0.0010; gross_edge=0.0651; fee=0.00005; net_ev=0.0650; entry_source=ask; fee_source=market
2026-09-10T21:49:08.063391+00:00,Busan,RKPK,2026-09-11,lowest_temperature,C,4399377,busan|2026_09_11|lowest_temperature|c|rkpk,exact,21.0,21.0,21.0,21°C,0.066066,0.0005,0.001,0.05,4.995e-05,0.065066,0.065016,998.95005,3,18.8,18.2,19.3,0.5568,19.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0661; entry=0.0010; gross_edge=0.0651; fee=0.00005; net_ev=0.0650; entry_source=ask; fee_source=market
2026-09-10T21:49:08.064307+00:00,Qingdao,ZSQD,2026-09-11,lowest_temperature,C,4399453,qingdao|2026_09_11|lowest_temperature|c|zsqd,exact,17.0,17.0,17.0,17°C,0.066066,0.0005,0.001,0.05,4.995e-05,0.065066,0.065016,998.95005,3,14.8,13.8,15.8,1.0,14.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0661; entry=0.0010; gross_edge=0.0651; fee=0.00005; net_ev=0.0650; entry_source=ask; fee_source=market
2026-09-10T21:49:08.073807+00:00,Paris,LFPB,2026-09-12,lowest_temperature,C,4430359,paris|2026_09_12|lowest_temperature|c|lfpb,exact,16.0,16.0,16.0,16°C,0.095552,0.015,0.03,0.05,0.001455,0.065552,0.064097,32.284833,3,13.5667,12.0,16.7,2.7135,14.0,2026-09-10T21:30:00.000Z,PAPER_BUY,model_probability=0.0956; entry=0.0300; gross_edge=0.0656; fee=0.00145; net_ev=0.0641; entry_source=ask; fee_source=market
2026-09-10T21:49:08.084544+00:00,San Francisco,KSFO,2026-09-12,lowest_temperature,F,4436307,san_francisco|2026_09_12|lowest_temperature|f|ksfo,range,,58.0,59.0,58-59°F,0.475976,0.28,0.4,0.05,0.012,0.075976,0.063976,1.47,3,14.5,14.3,14.6,0.1732,28.9,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4760; entry=0.4000; gross_edge=0.0760; fee=0.01200; net_ev=0.0640; entry_source=ask; fee_source=market
2026-09-10T21:49:08.067411+00:00,Helsinki,EFHK,2026-09-11,highest_temperature,C,4400235,helsinki|2026_09_11|highest_temperature|c|efhk,exact,15.0,15.0,15.0,15°C,0.07963,0.0085,0.015,0.05,0.00073875,0.06463,0.063891,65.617417,3,17.0667,16.8,17.4,0.3055,12.0,2026-09-10T21:20:00.000Z,PAPER_BUY,model_probability=0.0796; entry=0.0150; gross_edge=0.0646; fee=0.00074; net_ev=0.0639; entry_source=ask; fee_source=market
2026-09-10T21:49:08.066605+00:00,Beijing,ZBAA,2026-09-11,highest_temperature,C,4400148,beijing|2026_09_11|highest_temperature|c|zbaa,exact,31.0,31.0,31.0,31°C,0.323078,0.245,0.25,0.05,0.009375,0.073078,0.063703,2.9625,3,31.0,30.8,31.3,0.2646,13.0,2026-09-10T21:30:00.000Z,PAPER_BUY,model_probability=0.3231; entry=0.2500; gross_edge=0.0731; fee=0.00938; net_ev=0.0637; entry_source=ask; fee_source=market
2026-09-10T21:49:08.073829+00:00,Paris,LFPB,2026-09-12,lowest_temperature,C,4430361,paris|2026_09_12|lowest_temperature|c|lfpb,or_higher,18.0,18.0,,18°C or higher,0.09491,0.015,0.03,0.05,0.001455,0.06491,0.063455,32.284833,3,13.5667,12.0,16.7,2.7135,14.0,2026-09-10T21:30:00.000Z,PAPER_BUY,model_probability=0.0949; entry=0.0300; gross_edge=0.0649; fee=0.00145; net_ev=0.0635; entry_source=ask; fee_source=market
2026-09-10T21:49:08.073674+00:00,London,EGLC,2026-09-12,lowest_temperature,C,4430348,london|2026_09_12|lowest_temperature|c|eglc,exact,16.0,16.0,16.0,16°C,0.104849,0.02,0.04,0.05,0.00192,0.064849,0.062929,23.952,3,14.0,12.6,14.8,1.2166,18.0,2026-09-10T21:20:00.000Z,PAPER_BUY,model_probability=0.1048; entry=0.0400; gross_edge=0.0648; fee=0.00192; net_ev=0.0629; entry_source=ask; fee_source=market
2026-09-10T21:49:08.067560+00:00,Kuala Lumpur,WMKK,2026-09-11,highest_temperature,C,4400247,kuala_lumpur|2026_09_11|highest_temperature|c|wmkk,exact,30.0,30.0,30.0,30°C,0.311529,0.235,0.24,0.05,0.00912,0.071529,0.062409,3.128667,3,29.6667,28.9,30.6,0.8622,25.0,2026-09-10T21:30:00.000Z,PAPER_BUY,model_probability=0.3115; entry=0.2400; gross_edge=0.0715; fee=0.00912; net_ev=0.0624; entry_source=ask; fee_source=market
2026-09-10T21:49:08.083815+00:00,Austin,KAUS,2026-09-12,highest_temperature,F,4434138,austin|2026_09_12|highest_temperature|f|kaus,range,,98.0,99.0,98-99°F,0.19702,0.125,0.13,0.05,0.005655,0.06702,0.061365,6.648808,3,38.6667,37.8,39.1,0.7506,37.2,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.1970; entry=0.1300; gross_edge=0.0670; fee=0.00566; net_ev=0.0614; entry_source=ask; fee_source=market
2026-09-10T21:49:08.070082+00:00,Denver,KBKF,2026-09-11,lowest_temperature,F,4401807,denver|2026_09_11|lowest_temperature|f|kbkf,range,,60.0,61.0,60-61°F,0.47287,0.275,0.4,0.05,0.012,0.07287,0.06087,1.47,3,15.5667,15.2,16.3,0.6351,30.4,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4729; entry=0.4000; gross_edge=0.0729; fee=0.01200; net_ev=0.0609; entry_source=ask; fee_source=market
2026-09-10T21:49:08.070210+00:00,Denver,KBKF,2026-09-11,lowest_temperature,F,4401807,denver|2026_09_11|lowest_temperature|f|kbkf,range,,60.0,61.0,60-61°F,0.47287,0.265,0.4,0.05,0.012,0.07287,0.06087,1.47,3,15.5667,15.2,16.3,0.6351,30.4,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4729; entry=0.4000; gross_edge=0.0729; fee=0.01200; net_ev=0.0609; entry_source=ask; fee_source=market
2026-09-10T21:49:08.081714+00:00,Karachi,OPKC,2026-09-12,highest_temperature,C,4431538,karachi|2026_09_12|highest_temperature|c|opkc,exact,33.0,33.0,33.0,33°C,0.206824,0.125,0.14,0.05,0.00602,0.066824,0.060804,6.099857,3,34.1667,33.9,34.6,0.3786,27.0,2026-09-10T21:30:00.000Z,PAPER_BUY,model_probability=0.2068; entry=0.1400; gross_edge=0.0668; fee=0.00602; net_ev=0.0608; entry_source=ask; fee_source=market
2026-09-10T21:49:08.080305+00:00,Chengdu,ZUUU,2026-09-12,highest_temperature,C,4431399,chengdu|2026_09_12|highest_temperature|c|zuuu,exact,22.0,22.0,22.0,22°C,0.144095,0.065,0.08,0.05,0.00368,0.064095,0.060415,11.454,3,23.5667,21.5,24.8,1.8009,19.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.1441; entry=0.0800; gross_edge=0.0641; fee=0.00368; net_ev=0.0604; entry_source=ask; fee_source=market
2026-09-10T21:49:08.056881+00:00,Denver,KBKF,2026-09-10,highest_temperature,F,4358681,denver|2026_09_10|highest_temperature|f|kbkf,range,,82.0,83.0,82-83°F,0.060913,0.0005,0.001,0.05,4.995e-05,0.059913,0.059863,998.95005,3,30.6667,30.6,30.8,0.1155,30.4,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0609; entry=0.0010; gross_edge=0.0599; fee=0.00005; net_ev=0.0599; entry_source=ask; fee_source=market
2026-09-10T21:49:08.073950+00:00,Seoul (Incheon),RKSI,2026-09-12,lowest_temperature,C,4430370,seoul_incheon|2026_09_12|lowest_temperature|c|rksi,exact,21.0,21.0,21.0,21°C,0.143521,0.04,0.08,0.05,0.00368,0.063521,0.059841,11.454,3,19.6,17.3,20.9,1.9975,16.0,2026-09-10T21:30:00.000Z,PAPER_BUY,model_probability=0.1435; entry=0.0800; gross_edge=0.0635; fee=0.00368; net_ev=0.0598; entry_source=ask; fee_source=market
2026-09-10T21:49:08.059939+00:00,Toronto,CYYZ,2026-09-10,lowest_temperature,C,4363393,toronto|2026_09_10|lowest_temperature|c|cyyz,exact,18.0,18.0,18.0,18°C,0.059913,0.0005,0.001,0.05,4.995e-05,0.058913,0.058863,998.95005,3,15.7333,15.4,15.9,0.2887,23.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0599; entry=0.0010; gross_edge=0.0589; fee=0.00005; net_ev=0.0589; entry_source=ask; fee_source=market
2026-09-10T21:49:08.080283+00:00,Chengdu,ZUUU,2026-09-12,highest_temperature,C,4431397,chengdu|2026_09_12|highest_temperature|c|zuuu,or_lower,20.0,,20.0,20°C or below,0.069341,0.0065,0.01,0.05,0.000495,0.059341,0.058846,98.9505,3,23.5667,21.5,24.8,1.8009,19.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0693; entry=0.0100; gross_edge=0.0593; fee=0.00049; net_ev=0.0588; entry_source=ask; fee_source=market
2026-09-10T21:49:08.071043+00:00,Houston,KHOU,2026-09-11,highest_temperature,F,4402245,houston|2026_09_11|highest_temperature|f|khou,range,,84.0,85.0,84-85°F,0.058779,0.0005,0.001,0.05,4.995e-05,0.057779,0.057729,998.95005,3,31.8,31.8,31.8,0.0,30.6,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0588; entry=0.0010; gross_edge=0.0578; fee=0.00005; net_ev=0.0577; entry_source=ask; fee_source=market
2026-09-10T21:49:08.069623+00:00,Miami,KMIA,2026-09-11,lowest_temperature,F,4401771,miami|2026_09_11|lowest_temperature|f|kmia,range,,72.0,73.0,72-73°F,0.080124,0.012,0.022,0.05,0.0010758,0.058124,0.057048,44.405645,3,24.9333,24.4,26.0,0.9238,29.4,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0801; entry=0.0220; gross_edge=0.0581; fee=0.00108; net_ev=0.0570; entry_source=ask; fee_source=market
2026-09-10T21:49:08.077974+00:00,Zhengzhou,ZHCC,2026-09-11,highest_temperature,C,4431170,zhengzhou|2026_09_11|highest_temperature|c|zhcc,exact,23.0,23.0,23.0,23°C,0.098922,0.03,0.04,0.05,0.00192,0.058922,0.057002,23.952,3,24.9,24.4,25.8,0.781,18.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.0989; entry=0.0400; gross_edge=0.0589; fee=0.00192; net_ev=0.0570; entry_source=ask; fee_source=market
2026-09-10T21:49:08.081176+00:00,Jeddah,OEJN,2026-09-12,highest_temperature,C,4431494,jeddah|2026_09_12|highest_temperature|c|oejn,exact,39.0,39.0,39.0,39°C,0.118612,0.03,0.06,0.05,0.00282,0.058612,0.055792,15.619667,3,37.0667,36.2,38.6,1.3317,32.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.1186; entry=0.0600; gross_edge=0.0586; fee=0.00282; net_ev=0.0558; entry_source=ask; fee_source=market
2026-09-10T21:49:08.066584+00:00,Beijing,ZBAA,2026-09-11,highest_temperature,C,4400146,beijing|2026_09_11|highest_temperature|c|zbaa,exact,29.0,29.0,29.0,29°C,0.087039,0.015,0.03,0.05,0.001455,0.057039,0.055584,32.284833,3,31.0,30.8,31.3,0.2646,13.0,2026-09-10T21:30:00.000Z,PAPER_BUY,model_probability=0.0870; entry=0.0300; gross_edge=0.0570; fee=0.00145; net_ev=0.0556; entry_source=ask; fee_source=market
